Categoría;Marca;ID;Producto;Código Interno;Código Barras;Precio Compra;Alicuota IVA;Margen Categoría;Margen Producto;Precio Fijo;Precio Único;Precio Final;Moneda;Stock;Ubicación;Descripción;Proveedor;Imágenes;Oferta;Redondeo;Alto (Cm);Ancho (Cm);Profundidad (Cm);Peso (Kg);Garantia
Gabinetes;Gigabyte;130;GABINETE C102 GLASS X2 FANES ;;;45,35;10,50%;30,00%;30,00%;0,00;SI;65,15;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;Gigabyte;271;GIGABYTE A520 M-K V2 ;;;56,84;10,50%;30,00%;30,00%;0,00;SI;81,65;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;Gigabyte;260;GIGABYTE A520M-K V2 (USADO) ;;;42.857,14;21,00%;30,00%;0,00%;49.586,78;SI;60.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;Gigabyte;242;GIGABYTE A620M H BOX M-ATX AM5 ;;;95,62;10,50%;30,00%;25,00%;0,00;SI;132,07;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;Gigabyte;180;GIGABYTE B760M GAMING WIFI ;;;173,02;10,50%;30,00%;25,00%;0,00;SI;238,98;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;Gigabyte;183;GIGABYTE Z370 AORUS ULTRA GAMING (USADO) ;;;51.712,99;10,50%;30,00%;40,00%;0,00;SI;80.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;Gigabyte;182;GIGABYTE Z390 GAMING X (USADO) ;;;58.177,12;10,50%;30,00%;40,00%;0,00;SI;90.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;Gigabyte;230;NVIDIA GIGABYTE RTX 3080 TURBO 10GB GDDR6X (USADO) ;;;277.149,32;10,50%;30,00%;60,00%;0,00;SI;490.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
memorias;Hiksemi;276;DDR4 HIKSEMI 8GB 3200MHZ ARMOR BLACK ;;;14,79;10,50%;30,00%;30,00%;0,00;SI;21,25;u$s;4,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Discos Internos SSD;Hiksemi;280;SSD HIKSEMI FUTURE 1TB M.2 NVME ;;;62,19;10,50%;30,00%;30,00%;0,00;SI;89,34;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Discos Internos SSD;Hiksemi;245;SSD HIKSEMI WAVE M.2 NVME 256GB ;;;18,32;10,50%;30,00%;25,00%;0,00;SI;25,30;u$s;6,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Discos Internos SSD;Hiksemi;243;SSD HIKSEMI WAVE S 240GB ;;;16,59;10,50%;30,00%;25,00%;0,00;SI;22,91;u$s;5,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
General;Hikvision;246;UPS HIKVISION DS 600VA ;;;41,88;21,00%;30,00%;25,00%;0,00;SI;63,35;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Impresora;HP;148;Impresora HP Laser Neverstop 1000a ;;;315,69;10,50%;30,00%;30,00%;0,00;SI;453,49;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
General;HyperX;143;Auricular HYPERX Cloud Stinger S ;;;48,62;10,50%;30,00%;25,00%;0,00;SI;67,16;u$s;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;IGAME;229;NVIDIA IGAME RTX 3070 TI VULKAN CON PANTALLA 8GB GDDR6X (USADO) ;;;330.000,00;10,50%;30,00%;40,00%;0,00;SI;510.510,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;Intel;154;INTEL CELERON G5905 S.1200 ;;;51,19;10,50%;25,00%;20,00%;0,00;SI;67,88;u$s;3,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;Intel;149;INTEL CELERON G5905 S.1200 (USADO) ;;;25.856,50;10,50%;25,00%;40,00%;0,00;SI;40.000,01;$;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;Intel;162;INTEL CELERON G5925 S.1200 ;;;52,19;10,50%;25,00%;20,00%;0,00;SI;69,20;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;Intel;159;INTEL CELERON G6405 S.1200 ;;;75,82;10,50%;25,00%;20,00%;0,00;SI;100,54;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;Intel;160;INTEL CELERON G6900 S.1700 ;;;65,45;10,50%;25,00%;20,00%;0,00;SI;86,79;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;Intel;161;INTEL I3 10105 S.1200 ;;;99,99;10,50%;25,00%;20,00%;0,00;SI;132,59;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;Intel;152;INTEL I3 10105F S.1200 (USADO) ;;;42.016,81;10,50%;25,00%;40,00%;0,00;SI;65.000,01;$;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;Intel;239;INTEL I3 8100 (USADO) ;;;16.806,72;10,50%;25,00%;50,00%;27.149,32;SI;30.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;Intel;153;INTEL I3 9100F S.1151 (USADO) ;;;38.784,74;10,50%;25,00%;40,00%;0,00;SI;59.999,99;$;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;Intel;158;INTEL I5 12600K S.1700 ;;;233,07;10,50%;25,00%;20,00%;0,00;SI;309,05;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Procesadores;Intel;237;INTEL I7 9700 (USADO) ;;;84.033,61;10,50%;25,00%;40,00%;0,00;SI;130.000,00;$;1,00;;;;;0,00;1.000,00;0,00;0,00;0,00;0,00;-
Procesadores;Intel;150;INTEL PENTIUM G4560 S.1151 (USADO) ;;;29.088,56;10,50%;25,00%;40,00%;0,00;SI;45.000,00;$;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
General;JBL;144;Auricular JBL JR300BT Rosa ;;;50,91;10,50%;30,00%;25,00%;0,00;SI;70,32;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
memorias;Kingston;273;DDR4 KINGSTON FURY BEAST 8GB 3200MHZ CL16 FURY BEAST BLACK ;;;18,72;10,50%;30,00%;30,00%;0,00;SI;26,89;u$s;6,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
General;Logitech;142;Auricular Astro A50 (usado) ;;;129.282,48;10,50%;30,00%;40,00%;0,00;SI;200.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
