"Codigo","Descripcion","lista3","Tipo","IVA","ROS","MZA","CBA","LUG","Grupo","Rubro","Part Number" 
"28492","CONTROLADORA HPE Smart Array E208I-P SR Gen10","1032.31","A","10.5","0","0","0","19","605","001-0101","804394-B21"
"26342","CONTROLADORA RAID LENOVO 510I SAS/SATA RD/TD","360.01","A","10.5","0","0","0","4","250","001-0500","4XC0G88837"
"27541","CONTROLADORA RAID LENOVO 520I SAS/SATA TD350 (I)","463.73","A","10.5","0","0","0","1","250","001-0432","4XC0G88850"
"26343","CONTROLADORA RAID LENOVO 520I SAS/SATA TS150 (I)","387.85","A","10.5","0","0","0","1","250","001-0500","4XC0G88840"
"37533","CORREA TRANSPORTE PARA MONOPATIN","2.37","A","21","30","3","20","960","909","002-0299",""
"53068","CORTADORA DE PELO  WAHL 1400 BLANCA","38.63","A","10.5","1","0","0","0","928","001-0580",""
"212066","CORTADORA DE PELO  WAHL BABY CLIPPER","24.89","A","10.5","0","2","3","0","928","001-0580","6230-0000/70002-008"
"52731","CORTADORA DE PELO  WAHL HOMECUT 20PCS","33.93","A","10.5","2","0","0","5","928","001-0580","9243-2828"
"212063","CORTADORA DE PELO  WAHL MINI T-PRO TRIMMER","19.03","A","10.5","1","0","0","0","928","001-0580","3000-0350"
"01050","CORTADORA DE PELO WAHL 1400 WHITE","38","A","10.5","2","0","2","3","928","001-0580","1400-0495"
"01051","CORTADORA DE PELO WAHL COLORPRO PLUS","67.79","A","10.5","4","0","2","2","928","001-0580","79752-028"
"52739","CORTADORA DE PELO WAHL HOMECUT COMBO BLACK","30.61","A","10.5","0","0","0","2","928","001-0580","79450-1528"
"213778","CPE HIKVISION DS-3WF02C-5AC/O 867MBPS AC 5KM","47.78","A","10.5","1","0","0","0","603","001-0612","DS-3WF02C-5AC/O"
"21681","CPE TP-LINK CPE510 300MBPS 5GHz 13dBi EXTERIOR","46.46","A","10.5","3","0","0","2","140","001-0612","CPE510"
"48857","CPE TP-LINK CPE710 867MBPS 5GHZ 23dBi EXTERIOR","75.26","A","10.5","1","0","0","0","140","001-0612","CPE710"
"213088","CPU AMD ATHLON 3000G 2 CORE AM4 3.5Ghz 4MB 35W","50.69","A","10.5","2","13","3","60","89","001-0330","YD3000C6FHSBX"
"31872","CPU AMD OPTERON DP MODEL 248 BOX S940","19.68","A","10.5","1","0","0","0","89","001-0330","OSA248BLBOX"
"50249","CPU AMD OPTERON DP MODEL 256 BOX S940","28.56","A","10.5","1","0","0","0","89","001-0330","OSA256BLBOX"
"36296","CPU AMD RYZEN 3 3200G AM4 65W 3.6GHZ","65.64","A","10.5","30","16","6","24","89","001-0330","YD3200C5FHBOX/YD320GC5FHBOX"
"214209","CPU AMD RYZEN 3 5300G AM4 65W","106.27","A","10.5","3","0","0","11","89","001-0330","100-100000253BOX"
"52587","CPU AMD RYZEN 5 4600G AM4 65W","115.89","A","10.5","0","10","60","0","89","001-0330","100-100000147BOX"
"52141","CPU AMD RYZEN 5 5500 AM4 WITH WRAITH STEALTH","81.26","A","10.5","0","0","0","0","89","001-0330","100-100000457BOX"
"213065","CPU AMD RYZEN 5 8600G AM5 65W 32MB","202.53","A","10.5","0","4","3","12","89","001-0330","100-100001237BOX"
"214157","CPU AMD RYZEN 5 9600X AM5 65W 38MB SIN COOLER","310.05","A","10.5","2","0","3","21","89","001-0330","100-100001405WOF"
"49487","CPU AMD RYZEN 7 5700G AM4 65W WRAITH STEALTH","171.96","A","10.5","28","0","33","11","89","001-0330","100-100000263BOX"
"213581","CPU AMD RYZEN 7 5700X3D AM4 105W","251.73","A","10.5","16","7","11","66","89","001-0330","100-100001503WOF"
"214495","CPU AMD RYZEN 7 5700X3D AM4 105W BULK","238.03","A","10.5","0","6","1","52","89","001-0330","100-000001503"
"214282","CPU AMD RYZEN 7 8700F AM5 65W 32MB","272.55","A","10.5","5","0","0","27","89","001-0330","100-100001590BOX"
