Categoría;Marca;ID;Producto;Código Interno;Código Barras;Precio Compra;Alicuota IVA;Margen Categoría;Margen Producto;Precio Fijo;Precio Único;Precio Final;Moneda;Stock;Ubicación;Descripción;Proveedor;Imágenes;Oferta;Redondeo;Alto (Cm);Ancho (Cm);Profundidad (Cm);Peso (Kg);Garantia
Placas de video;ASRock;205;RADEON ASROCK RX 6700 XT CHALLENGER 12GB GDDR6  (USADO) ;;;192.307,69;10,50%;30,00%;50,00%;289.592,76;SI;320.000,00;$;5,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;ASUS;294;ASUS AM4 PRIME A520M-K CSM BOX M-ATX DDR4 ;;;61,86;10,50%;30,00%;30,00%;0,00;SI;88,86;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;ASUS;189;ASUS AM4 TUF B450M PLUS II DDR4 ;;;97,21;10,50%;30,00%;30,00%;0,00;SI;139,64;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;ASUS;193;ASUS S.1151 PRIME H310M-R DDR4 (USADO) ;;;19.392,37;10,50%;30,00%;40,00%;0,00;SI;30.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;ASUS;190;ASUS S.1200 PRIME B460M-A DDR4 (USADO) ;;;45.248,87;10,50%;30,00%;40,00%;0,00;SI;70.000,00;$;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;ASUS;192;ASUS S.1200 PRIME B560M-A DDR4 (USADO) ;;;64.641,24;10,50%;30,00%;40,00%;0,00;SI;100.000,00;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;ASUS;191;ASUS S.1200 PRIME Z490-P DDR4 (USADO) ;;;96.961,86;10,50%;30,00%;40,00%;0,00;SI;150.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Notebook;ASUS;235;NOTEBOOK ASUS X515 I5 11°GEN/ 8GB RAM/SSD 256GB/ 15,6'' (USADA) ;;;323.206,00;10,50%;30,00%;40,00%;0,00;SI;499.999,68;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;ASUS;212;NVIDIA ASUS GTX 1060 DUAL 6GB GDDR5 (USADO SIN CAJA) ;;;90.497,74;10,50%;30,00%;40,00%;0,00;SI;140.000,00;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;ASUS;215;NVIDIA ASUS RTX 2060 DUAL 6GB GDDR6 (USADO) ;;;124.434,39;10,50%;30,00%;50,00%;190.045,25;SI;210.000,00;$;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;ASUS;202;RADEON ASUS DUAL RX 5600 XT 6GB GDDR6 (USADO) ;;;129.282,48;10,50%;30,00%;40,00%;0,00;SI;200.000,00;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Aureox;281;FUENTE 500W AUREOUX POWER SERIES 500 ;;;0,00;21,00%;30,00%;0,00%;24.793,39;SI;30.000,00;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Aureox;255;FUENTE 600W AUREOUX POWER SERIES 600 ;;;20.000,00;21,00%;30,00%;0,00%;33.057,85;SI;40.000,00;$;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;Biostar;254;BIOSTAR AM4 A320M-K DDR4 ;;;49,71;10,50%;30,00%;30,00%;0,00;SI;71,41;u$s;0,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;Biostar;307;BIOSTAR AM4 B450MH M-ATX DDR4 ;;;49,71;10,50%;30,00%;30,00%;0,00;SI;71,41;u$s;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;Biostar;308;BIOSTAR AM4 B450MX-S M-ATX DDR4 ;;;53,54;10,50%;30,00%;30,00%;0,00;SI;76,91;u$s;4,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
